name,org,country,date,category,scale,view,modalities,access,data_link,license,downloads
Gen-HumanEgo,简智机器人 GenRobot,CN,2026-09-12,manipulation/HOI,1800+ hours,multi (6-cam DAS-Ego),RGB/hand/body/SLAM/6DoF,open,https://huggingface.co/datasets/genrobot2025/Gen-HumanEgo,CC-BY-SA-4.0,
Gen-EgoData (GenRobot),简智机器人 GenRobot,CN,2026-03-14,world-model,500 samples / 4.23h,mono + ego-SLAM,RGB/depth/pose,open,https://huggingface.co/datasets/genrobot2025/Gen-EgoData,CC-BY-SA-4.0,545
Gen-EgoData (JD),京东 JoyAI,CN,2026-08-10,world-model,500 samples / 4.23h,mono + ego-SLAM,RGB/depth/pose,open,https://huggingface.co/datasets/jdopensource/Gen-EgoData,CC-BY-SA-4.0,114
10Kh RealOmni-Open,简智机器人 GenRobot,CN,2026-01-06,manipulation/HOI,>10000h / ~1M clips,mono,RGB/depth/tactile/pose,gated,https://huggingface.co/datasets/genrobot2025/10Kh-RealOmin-OpenData,-,
SynData,灵初智能 PsiBot,CN,2026-04-21,manipulation/HOI,1000h open (100k collected),hand/mono,RGB/lang/joint/tactile,open,https://huggingface.co/datasets/PsiBotAI/SynData,CC-BY-4.0,13557
WIYH (World In Your Hands),它石智航 TARS,CN,2026-03-25,world-model,>100k videos / 40+ tasks,mono,VLTA (vision-lang-tactile-action),open,https://huggingface.co/datasets/tars-robotics/WIYH,CC-BY-NC-4.0,12066
EgoSuite-Open100K,光轮智能 Lightwheel,CN,2026-08-20,manipulation/HOI,100000h / 15000 scenes,head+wrist,hand21+body+depth+semantic,request,https://egosuite100k.lightwheel.ai/,-
EgoDemo,光轮智能 Lightwheel,CN,2026-08-07,manipulation/HOI,-,head+wrist,RGB/hand/body,gated,https://huggingface.co/datasets/LightwheelAI/EgoDemo,-,148293
EgoPro,光轮智能 Lightwheel,CN,2026-08-07,manipulation/HOI,-,head+wrist,RGB/hand/body,gated,https://huggingface.co/datasets/LightwheelAI/EgoPro,-,38710
EgoViz-120,humaidtech,-,2026-08-28,stereo,120h,stereo + dual wrist,stereo RGB/depth/IMU/3D hand/mcap,open,https://huggingface.co/datasets/humaidtech/EgoViz-120,CC-BY-4.0,174
ego-stereo-cn-v1,tatezhou,CN,2026-08-22,stereo,<1K,stereo (LeRobot),stereo RGB/IMU/6DoF,open,https://huggingface.co/datasets/tatezhou/ego-stereo-cn-v1,CC-BY-NC-4.0,338
Ego-OSCAR (stereo-550),fpvlabs,US,2026-07-30,stereo,~550h/camera,stereo + IMU,stereo RGB/IMU/3D hands/captions,gated,https://huggingface.co/datasets/fpvlabs/stereo-550,-,234370
ACE-Data-0,ACE Robotics,US,2026-09-08,manipulation/HOI,150h / 75k episodes,mono/exo,RGB/depth/pose/audio/tactile,open,https://huggingface.co/datasets/ACERobotics/ACE-Data-0,-,
Open-AoE,Ant Group,CN,2026-07-07,manipulation/HOI,~2000h,mono,RGB/MANO/text,open,https://huggingface.co/datasets/inclusionAI/OpenAoE-2000h,-,498169
AgiBotWorld-Beta,智元机器人 AgiBot,CN,2025-02-11,robot (non-human),1M trajectories,robot head+2 wrist (non-human),RGB-D/tactile/joint,gated,https://huggingface.co/datasets/agibot-world/AgiBotWorld-Beta,CC-BY-NC-SA-4.0,102134
EgoExoLearn,OpenGVLab (Shanghai AI Lab),CN,2024-08-07,procedural,120h,ego+exo,RGB/annotations,open,https://huggingface.co/datasets/hyf015/EgoExoLearn,-,3216
HoloAssist,Microsoft,US,2025-06-25,procedural,166h,mono+depth,RGB/depth/hand/gaze/IMU,open,https://huggingface.co/datasets/hyf015/holoassist,-,12715
EgoLife,EvolvingLMMs-Lab,CN,2025-02-26,memory/long-form,266-300h,multi (Aria),RGB/audio/mmWave,open,https://huggingface.co/datasets/lmms-lab/EgoLife,-,108742
AEA (Aria Everyday Activities),Meta,US,2024-09-13,general,143 sequences,multi,RGB/SLAM/pointcloud/gaze,open,https://huggingface.co/datasets/projectaria/aria-everyday-activities,-,81
ADT (Aria Digital Twin),Meta,US,2024-08-27,3D/scene,200 sequences,multi,RGB/IMU/6DoF/depth/seg,open,https://huggingface.co/datasets/projectaria/aria-digital-twin,-,171
HOT3D,Meta,US,2024-09-17,manipulation/HOI,833 min / 3.7M images,multi (Quest3 stereo),RGB/gaze/hand/object,open,https://huggingface.co/datasets/projectaria/hot3d,-,168
Nymeria,Meta,US,2024-09-19,general,~1100h / 264 people,multi (Aria+Quest3),body/RGB/IMU/pointcloud,open,https://huggingface.co/datasets/projectaria/Nymeria,-,282
