name,org,paper,project_page,blog_or_announcement,report_type,note
Gen-HumanEgo,简智机器人 GenRobot,,-,-,HF card + toolkit,README: 1800+ h; 6-cam DAS-Ego; das-datakit
Gen-EgoData (GenRobot),简智机器人 GenRobot,,-,-,HF card,500 samples/4.23h
Gen-EgoData (JD),京东 JoyAI,,-,https://www.jdcloud.com,HF card + news,WAIC 2026-07
10Kh RealOmni-Open,简智机器人 GenRobot,,-,https://huggingface.co/datasets/genrobot2025/10Kh-RealOmin-OpenData,news + HF,机器之心 2026-01-06
SynData,灵初智能 PsiBot,,-,https://mp.weixin.qq.com,HF card + news,HF Trending #1
WIYH (World In Your Hands),它石智航 TARS,,-,https://baike.baidu.com/item/WIYH数据集,HF card + news + baike,VLTA; 2025-12-26 开源
EgoSuite-Open100K,光轮智能 Lightwheel,,https://egosuite100k.lightwheel.ai/,https://egosuite100k.lightwheel.ai/,official site + news,WRC 2026-08-20
EgoDemo,光轮智能 Lightwheel,,-,-,HF card,
EgoPro,光轮智能 Lightwheel,,-,-,HF card,
EgoViz-120,humaidtech,,-,-,HF card,120h stereo
ego-stereo-cn-v1,tatezhou,,https://github.com/Physical-Intelligence/pi-data-sharing,-,HF card,stereo LeRobot
Ego-OSCAR (stereo-550),fpvlabs,https://arxiv.org/abs/2608.08285,https://github.com/fpvlabs/ego-oscar,-,paper + HF,stereo-inertial hardware
ACE-Data-0,ACE Robotics,https://arxiv.org/abs/2607.28625,https://ace-data-engine.github.io/ACE-Data-0/,-,paper + HF,ambient capture
Open-AoE,Ant Group,https://arxiv.org/abs/2607.14183,https://github.com/ant-research/Open-AoE,-,paper + HF,2000h smartphone
AgiBotWorld-Beta,智元机器人 AgiBot,https://arxiv.org/abs/2503.06669,https://github.com/OpenDriveLab/AgiBot-World,-,paper + HF,robot (non-human)
EgoExoLearn,OpenGVLab,https://arxiv.org/abs/2403.16182,https://github.com/OpenGVLab/EgoExoLearn,-,paper + HF,CVPR 2024
HoloAssist,Microsoft,https://arxiv.org/abs/2309.17024,https://holoassist.github.io/,-,paper + HF,ICCV 2023
EgoLife,EvolvingLMMs-Lab,https://arxiv.org/abs/2503.03803,https://egolife-ai.github.io/,-,paper + HF,CVPR 2025
AEA (Aria Everyday Activities),Meta,https://arxiv.org/abs/2402.13349,https://www.projectaria.com/datasets/aea/,-,paper + HF,
ADT (Aria Digital Twin),Meta,https://arxiv.org/abs/2306.06362,https://www.projectaria.com/datasets/adt/,-,paper + HF,ICCV 2023
HOT3D,Meta,https://arxiv.org/abs/2406.09598,https://facebookresearch.github.io/hot3d/,-,paper + HF,CVPR 2025
Nymeria,Meta,https://arxiv.org/abs/2406.09905,https://www.projectaria.com/datasets/nymeria/,-,paper + HF,
EgoObjects,Meta,https://arxiv.org/abs/2309.08816,https://github.com/facebookresearch/EgoObjects,-,paper + GitHub,ICCV 2023
Ego-1K,Meta,https://arxiv.org/abs/2603.13741,https://huggingface.co/datasets/facebook/ego-1k,-,paper + HF,CVPR 2026
EgoProactive / Pro2Bench,Meta,https://arxiv.org/abs/2606.04970,https://huggingface.co/datasets/facebook/wearable-ai,-,paper + HF,
HA-Ego (ego500),Human Archive,,-,-,HF card,500+ clips
Egocentric-10K,Build AI,,-,-,HF card,10000h factory
PRISM-100K,DreamVu,https://arxiv.org/abs/2603.29281,https://dreamvu.ai/prism/,-,paper + HF,retail
SABER-10K,DreamVu,https://arxiv.org/abs/2605.09613,https://dreamvu.ai/saber/,-,paper + HF,retail
EgoExo-Fitness,iSEE Lab,https://arxiv.org/abs/2406.08877,https://github.com/iSEE-Laboratory/EgoExo-Fitness,-,paper + HF,ECCV 2024
EgoCross,-,https://arxiv.org/abs/2608.04589,https://egocross-benchmark.github.io/,-,paper + HF,
Ropedia Xperience-10M,Ropedia,,https://ropedia.com/,https://ropedia.com/,site + HF,10M experiences
EgoFun3D,SFU,https://arxiv.org/abs/2604.11038,https://3dlg-hcvc.github.io/EgoFun3D/,-,paper + HF,
EgoTouch,-,https://arxiv.org/abs/2605.13083,https://github.com/Jianyi2004/TouchAnything,-,paper + HF,
EgoSPT,-,https://arxiv.org/abs/2605.20085,https://huggingface.co/datasets/JackYFL233/EgoSPT,-,paper + HF,
EgoMonth,-,https://arxiv.org/abs/2608.13113,https://huggingface.co/datasets/anonymous-egomonth/egomonth-dataset,-,paper + HF,
EgoMemReason,-,https://arxiv.org/abs/2605.09874,https://egomemreason.github.io/,-,paper + HF,
SuperMemory-VQA,OSU,https://arxiv.org/abs/2606.00825,https://huggingface.co/datasets/OSU-AIoT-MLSys-Lab/SuperMemory-VQA,-,paper + HF,
Causal-Plan-1M,THUSI-Lab,https://arxiv.org/abs/2606.01810,https://github.com/THUSI-Lab/Causal-Reasoner,-,paper + HF,
EgoServe,-,https://arxiv.org/abs/2607.11523,https://sitonggong.github.io/EgoServe-page/,-,paper + HF,
EgoCoT-Bench,-,https://arxiv.org/abs/2605.19559,https://dstardust.github.io/EgoCoT/,-,paper + HF,
Ego2Web,-,https://arxiv.org/abs/2603.22529,https://ego2web.github.io/,-,paper + HF,
GameplayQA,HATS-ICT,https://arxiv.org/abs/2603.24329,https://hats-ict.github.io/gameplayqa/,-,paper + HF,
Ego-METAS,-,https://arxiv.org/abs/2606.02246,https://maria-sanvil.github.io/Ego-METAS-website/,-,paper + HF,
EgoTactile,-,https://arxiv.org/abs/2606.09243,https://egotactile.github.io/,-,paper + HF,
epic-contact,-,https://arxiv.org/abs/2606.30598,https://sid2697.github.io/epic-contact/,-,paper + HF,
sg-ego,-,https://arxiv.org/abs/2607.02425,https://francescapistilli.github.io/GLEN/,-,paper + HF,
hrdexdb,-,https://arxiv.org/abs/2604.14944,https://huggingface.co/datasets/hahahataeyun/hrdexdb,-,paper + HF,
interpet4d,-,https://arxiv.org/abs/2607.10287,https://interactive-intelligence-lab.github.io/InterPet4D-Homepage/,-,paper + HF,
OVO-S-Bench,-,https://arxiv.org/abs/2606.03890,https://internlm.github.io/OVO-S-Bench/,-,paper + HF,
Ego4D,Meta,https://arxiv.org/abs/2110.07058,https://ego4d-data.org,-,paper + site,CVPR 2022
Ego-Exo4D,Meta,https://arxiv.org/abs/2311.18259,https://ego-exo4d-data.org,-,paper + site,CVPR 2024
EPIC-KITCHENS-100,Univ. Bristol,https://link.springer.com/article/10.1007/s11263-021-01531-2,https://epic-kitchens.github.io/,-,paper + site,IJCV 2021
HD-EPIC,Univ. Bristol,https://arxiv.org/abs/2502.04144,https://hd-epic.github.io/,-,paper + site,CVPR 2025
Charades-Ego,AI2 / CMU,https://arxiv.org/abs/1804.09626,https://prior.allenai.org/projects/charades-ego,-,paper + site,CVPR 2018
Assembly101,cvml-nus,https://arxiv.org/abs/2203.14712,https://assembly-101.github.io/,-,paper + HF,CVPR 2022
HOI4D,Tsinghua et al,https://arxiv.org/abs/2203.01577,https://hoi4d.github.io/,-,paper + site,CVPR 2022
EgoDex,Apple,https://arxiv.org/abs/2505.11709,https://github.com/apple/ml-egodex,-,paper + GitHub,ICLR 2026
Open X-Embodiment,Google DeepMind + 21,https://arxiv.org/abs/2310.08864,https://robotics-transformer-x.github.io,-,paper + site,
SANPO,Google,https://arxiv.org/abs/2309.12172,https://google-research-datasets.github.io/sanpo_dataset/,-,paper + site,stereo driving
EgoMimic,Georgia Tech + Stanford,https://arxiv.org/abs/2410.24221,https://egomimic.github.io/,-,paper + site,
UMI,Stanford et al,https://arxiv.org/abs/2402.10329,https://umi-gripper.github.io/,-,paper + site,RSS 2024
DexUMI,Stanford/Columbia/NVIDIA,https://arxiv.org/abs/2505.21864,https://dex-umi.github.io/,-,paper + site,CoRL 2025
Open-TeleVision,UCSD/MIT,https://arxiv.org/abs/2407.01512,https://robot-tv.github.io/,-,paper + site,CoRL 2024
UnrealEgo,MPI + Keio,https://arxiv.org/abs/2208.01633,https://4dqv.mpi-inf.mpg.de/UnrealEgo/,-,paper + site,CVPR 2022
EgoCap,ETH Zurich,https://arxiv.org/abs/1609.07306,https://arxiv.org/abs/1609.07306,-,paper,SIGGRAPH Asia 2016
